PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40754564,Detecting vascular normalization in epithelial ovarian cancer.,2025,"da S Mororó, Meira, Altoé, Casotti, Santana, Louro, Louro, Vicente, de Araújo, Groisman, de Carvalho, Louro","Department of Biological Sciences, Universidade Federal Do Espírito Santo (UFES), Av. Fernando Ferrari, N. 514, Prédio Ciências Biológicas, Bloco A, Sala 106, Cep: 29.075-910, Vitória, Espírito Santo, Brazil., Department of Biological Sciences, Universidade Federal Do Espírito Santo (UFES), Av. Fernando Ferrari, N. 514, Prédio Ciências Biológicas, Bloco A, Sala 106, Cep: 29.075-910, Vitória, Espírito Santo, Brazil. debora.meira@ufes.br., Instituto de Biologia Roberto Alcântara Gomes (IBRAG), Universidade Do Estado Do Rio de Janeiro (UERJ), Rio de Janeiro, Brazil., Centro de Ciências da Saúde, Curso de Medicina, Universidade Federal Do Espírito Santo, Espírito Santo, Brazil., Escola Superior de Ciências da Santa Casa de Misericórdia de Vitória (EMESCAM), Curso de Medicina, Espírito Santo, Brazil., Departamento de Química Fundamental, Instituto de Química, Universidade de São Paulo (USP), São Paulo, Brazil. jmororo@alumni.usp.br., Departamento de Medicina Social, Universidade Federal Do Espírito Santo, Espírito Santo, Brazil.",N/A
40754558,Constructing pH-sensitive silica-sulfide hafnium dot nanotherapeutics for synergistically enhanced chemoradiotherapy.,2025,,,N/A
40754556,Knowledge-map and bibliometric analysis of scientific research on FDA-approved Chimeric Antigen Receptor T cell products (2015-2024).,2025,,,N/A
40754548,Oncologic and survival outcomes in patients undergoing radical nephroureterectomy with preoperative or iatrogenic dialysis dependence.,2025,"Lee, Li, Clark, Thapa, Boorjian, Raman, Coleman, Spiess, Potretzke","Department of Urology, Penn State Health, Hershey, PA., Department of Urology, Mayo Clinic, Rochester, MN., Department of Urology, Moffitt Cancer Center, Tampa, FL., Department of Urology, Memorial Sloan Kettering Cancer Center, New York, NY., Department of Urology, Mayo Clinic, Rochester, MN. Electronic address: potretzke.aaron@mayo.edu.",N/A
40754534,Mitochondrial metabolism and cancer therapeutic innovation.,2025,,,N/A
40754508,Real-time Imaging of Vascular Changes and Extravasation in the Chicken Chorioallantoic Membrane (CAM) Model Exposed to Ultrasound and Microbubbles.,2025,,,N/A
40754483,Determining Optimal Patient Selection for High-intensity Focused Ultrasound for Prostate Cancer.,2025,"Shee, Pace, Liu, Cowan, Agapito, Carroll, Shinohara, Nguyen","UCSF Department of Urology, UCSF Helen Diller Comprehensive Cancer Center, San Francisco, CA, USA., UCSF Department of Urology, UCSF Helen Diller Comprehensive Cancer Center, San Francisco, CA, USA. Electronic address: Kevin.shee@ucsf.edu., UCSF Department of Urology, UCSF Helen Diller Comprehensive Cancer Center, San Francisco, CA, USA. Electronic address: Hao.nguyen@ucsf.edu.",N/A
40754479,Optimizing cytology and small biopsy specimen processing for ancillary studies: recommendations from the American Society of Cytopathology taskforce.,2025,"Booth, Jenkins, Monaco","Department of Pathology, Cleveland Clinic, Cleveland, Ohio., American Society of Cytopathology, Wilmington, Delaware., Department of Laboratory Medicine, Geisinger Medical Center, Danville, Pennsylvania.",N/A
40754469,CD3-Bispecific Monoclonal Antibodies: A Novel Therapeutic Approach for Complex and Multifactorial Diseases.,2025,,,N/A
40754462,"Naringenin Inhibits Cellular Proliferation, Arrests Cell Cycle and Induces Pro-Apoptotic Autophagy in MCF-7 Breast Cancer Cells.",2025,"Shenoy, Ray","Imaging Cell Signaling and Therapeutics Lab, Advanced Centre for Treatment Research and Education in Cancer, Tata Memorial Centre, Navi Mumbai, India.",N/A
40754248,The molecular mechanism of ambrosin induced cytotoxicity of human breast cancer and bladder cancer cells.,2025,,,N/A
40754223,Chimeric Antigen Receptor T-cell Therapy for Richter Transformation: A CIBMTR analysis.,2025,"Hashmi, Kharfan-Dabaja, Locke, Murthy, Mousthafa, Herrera","Division of Hematology and Oncology, Mayo Clinic Florida, Jacksonville, Florida., Division of Hematology-Oncology and Blood and Marrow Transplantation and Cellular Therapy Program, Mayo Clinic, Jacksonville, FL, USA., Myeloma & Cell Therapy Service, Memorial Sloan Kettering Cancer Center., Division of Lymphoma, Department of Hematology and Hematopoietic Cell Transplantation, City of Hope, Duarte, CA., Department of Blood and Marrow Transplant and Cellular Immunotherapy, Moffitt Cancer Center, Tampa, FL.",N/A
40754202,Preoperative Radiotherapy-Induced Molecular and Immune Modulation in Early-Stage Breast Cancer: Results from the YOUNGSTER Trial.,2025,,,N/A
40754186,Advances in Aptamer Technology and Its Updated Applications in Gastric Cancer.,2025,,,N/A
40754138,BCL-2/BCL-X,2025,,,N/A
40754125,ACR Neck Imaging Reporting and Data System (NI-RADS) for Magnetic Resonance Imaging v2025.,2025,,,N/A
40754042,Redefining cancer treatment: the role of imatinib nanoparticles in precision medicine.,2025,,,N/A
40754040,Navigating the future of oncology: the transformative role of microrobots in precision cancer therapy.,2025,Kesharwani,"Department of Pharmaceutical Sciences, Dr. Harisingh Gour Vishwavidyalaya, Sagar, Madhya Pradesh 470003, India. Electronic address: prashantdops@gmail.com.",N/A
40753940,Identification of Epstein-Barr virus nuclear antigen 1 (EBNA1)-specific T-cell receptors: implications for immunotherapy targeting EBV-associated malignancies.,2025,,,N/A
40753920,CRISPR/Cas9-mediated PD-1 attenuation enhances tumor infiltrating lymphocyte-based adoptive cellular therapy in humanized-PDX model of hepatocellular carcinoma.,2025,,,N/A
40753828,"Predictors of recurrence, and the impact of adjuvant radiation therapy on survival in early stage (pT1-2, N0) oral cavity squamous cell carcinoma: A matched pair analysis.",2025,,,N/A
40753800,CRISPR-Cas9: a prominent genome editing tool in the management of inherited blood disorders and hematological malignancies.,2025,,,N/A
40753746,Glutathione-programmed in situ catalyst self-assembly activates tumor-specific NO storm for gasodynamic therapy.,2025,,,N/A
40753722,Tandem CD19/CD22 CAR T-cells as potential therapy for children and young adults with high-risk r/r B-ALL.,2025,"Izquierdo, Hu, Schneider, Orentas","Lentigen Technology Inc., A Miltenyi Biotec Company, Gaithersburg, MD, USA., Miltenyi Biotec Company, Gaithersburg, MD, USA., IIBM ""Sols-Morreale"" (CSIC-UAM), Madrid, Spain.",N/A
40753715,A Clinical Risk Score for Thyroid Hormone Therapy After Partial Thyroidectomy.,2025,,,N/A
40753701,Biomacromolecule-mediated targeted protein degradation: an emerging strategy for cancer therapy.,2025,"Zhang, Zhu, Xia","NovoCodex Biopharmaceuticals Co. Ltd., Shaoxing, 312090, China.",N/A
40753689,Abdominopelvic complications of gynecologic malignancy: Essentials for radiologists.,2025,"Hassanzadeh, Lakhman, Nougaret, Gui, Sala, Causa-Andrieu","Department of Radiology, Mayo Clinic, Rochester, MN, USA., Department of Radiology, Montpellier Cancer Center, Montpellier, France., Dipartimento Diagnostica per Immagini e Radioterapia Oncologica, Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome, Italy; Dipartimento di Scienze Radiologiche ed Ematologiche, Universita Cattolica del Sacro Cuore, Rome, Italy., Dipartimento Diagnostica per Immagini e Radioterapia Oncologica, Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome, Italy., Department of Radiology, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",N/A
40753649,Progastrin Promotes Colorectal Cancer Stem Cell-Like Properties via the Receptor PZR.,2025,"Nguyen, Lafitte, Barbery, Espie, Jeitany, Larive, Vitre, Paul, Boublik, Fourgous, Simon, Sirvent, Neiveyans, Thirard, Bansard, Maillard, Coutry, Colinge, Jay, Martineau, Hahne, Pannequin, Roche","IGF, Univ Montpellier, CNRS, Montpellier, 23094, France., Equipe Labellisée LIGUE 2020 and FRM 2023, CRBM, Univ Montpellier, CNRS, Montpellier, 34293, France., IGMM, Univ. Montpellier, CNRS, Montpellier, 34293, France., IRCM, Univ Montpellier, ICM, INSERM, Montpellier, 34298, France.",N/A
40753639,Pan-cancer single cell transcriptomic clustering reveals heterogeneous CD8,2025,,,N/A
40753598,The efficacy and safety of ,2025,,,N/A
40753593,Salivary scintigraphy as a pre-treatment diagnostic tool to predict gland dysfunction following ,2025,,,N/A
40753505,Testosterone therapy and lawsuits against prescribers: a legal case review from 2000 to 2024.,2025,,,N/A
40753466,Intratumoral vidutolimod as monotherapy or in combination with pembrolizumab in patients with programmed cell death 1 blockade-resistant melanoma: Final analysis from a phase 1b study.,2025,"Niu, Olszanski, Zhao, Kelley, Liu, Kumar, Bobilev, Krieg, Wooldridge","Fusion Pharmaceuticals, Boston, Massachusetts, USA., Zola Therapeutics, Needham, Massachusetts, USA., Banner MD Anderson Cancer Center, Gilbert, Arizona, USA., Checkmate Pharmaceuticals, Cambridge, Massachusetts, USA., Fox Chase Cancer Center, Philadelphia, Pennsylvania, USA.",N/A
40753443,Metabolic checkpoints in immune cell reprogramming: rewiring immunometabolism for cancer therapy.,2025,,,N/A
40753424,The management of vaginal prolapse and stress incontinence mesh complications in a quaternary mesh complications service in the United Kingdom (U.K): a 5-year observational study.,2025,Edmondson,"Manchester Academic Health Science Centre (MAHSC), Manchester, UK.",N/A
40753423,Limosilactobacillus reuteri enables oral-to-systemic absorption of iberiotoxin for treatment of collagen-induced arthritis in rats.,2025,,,N/A
40753395,Sensitive detection of minimal residual disease and immunotherapy targets by multi-modal bone marrow analysis in high-risk neuroblastoma - a multi-center study.,2025,"Gelineau, van Zogchel, Fiocco, Tytgat","Princess Máxima Center for Pediatric Oncology, Research, Utrecht, The Netherlands. g.a.m.tytgat@prinsesmaximacentrum.nl., Princess Máxima Center for Pediatric Oncology, Research, Utrecht, The Netherlands.",N/A
40753384,Effect of intrapleural anti-Vascular Endothelial Growth Factor (VEGF) associated with nab paclitaxel in a murine model of malignant pleural effusion.,2025,"Silva, Teixeira, Pereira, Figueiredo Braga Colares, Alvarenga, Sales, Roque, Pagliarelli Acencio","Pulmonary Division, Instituto do Coracao (InCor), Faculdade de Medicina, Universidade de Sao Paulo, Sao Paulo, SP, BR, Brazil. carlos.sergio@hc.fm.usp.br., Pulmonary Division, Instituto do Coracao (InCor), Faculdade de Medicina, Universidade de Sao Paulo, Sao Paulo, SP, BR, Brazil.",N/A
40753371,The prognostic role of key factors in renal cell carcinoma with bone metastases.,2025,,,N/A
40753361,Dentists' role in oral care for head and neck cancer patients in GCC countries.,2025,,,N/A
40753355,Ninety Days of Preoperative Endocrine Therapy Informs Patient and Physician Preference for Radiation Therapy: Primary Results from the Preoperative Window of Endocrine Therapy to Inform Radiation Therapy Decisions (POWER) Trial.,2025,,,N/A
40753318,Neoadjuvant HER2-targeted regimens with or without anthracyclines for HER2-positive inflammatory breast cancer: a multicenter retrospective study.,2025,Nakhlis,"Division of Breast Surgery, Dana-Farber/Brigham Cancer Center, Boston, MA, USA.",N/A
40753277,Impact of modified dexamethasone administration sequence on infusion reaction incidence in HER2-positive breast cancer: a randomized multicenter trial.,2025,Isono,"Department of Surgery, Shimada General Medical Center, Shizuoka, 427-8502, Japan.",N/A
40753273,Histone lactylation: a new target for overcoming immune evasion and therapy resistance.,2025,,,N/A
40753248,Impacts of mandatory clinical ethics consultation on resource utilization and ethical conflicts in critically ill patients: a comparison between medical and surgical intensive care units.,2025,,,N/A
40753237,"Synchronous triple-negative breast cancer, rectal adenocarcinoma, and chemotherapy-induced hepatitis B virus reactivation: a case report and review of the literature.",2025,,,N/A
40753236,The role of prognostic nutrition index in the prognosis of patients with advanced hepatocellular carcinoma who received first-line therapy.,2025,Pan,"Shanghai Baoshan District Songnan Town Community Health Center, Shanghai, 200441, China. pxrzt147@163.com.",N/A
40753208,Unmet supportive care need and associated factors among cancer patients.,2025,,,N/A
40753178,Enlarged PML-nuclear bodies trigger conflicting cell cycle signal-mediated cytotoxicity in leukemia cells.,2025,,,N/A
40753137,Psychosocial factors associated with perceived cognitive functioning in prostate cancer survivors: an exploratory cross-sectional analysis.,2025,,,N/A
40753136,"Baseline characteristics of survivors, primary care clinicians, and oncologists in a randomized trial of a shared care, self-management intervention for cancer survivors.",2025,"Berkeley, Urman, Lee, Xiao, Ferrell, Reb, Miller, Lucero, Sun","Department of Population Sciences, City of Hope, 1500 East Duarte Road, Duarte, CA, 91010, USA. mdietrich@coh.org., Patient Partner, Studio City, CA, USA., Department of Population Sciences, City of Hope, 1500 East Duarte Road, Duarte, CA, 91010, USA., Department of Surgery, City of Hope, Duarte, CA, USA., Vital Research, Los Angeles, CA, USA., Patient Partner, Las Vegas, NV, USA.",N/A
